Altium Designer Pick and Place Locations
D:\1_Altium_Project\14_SLT\SLT_6U_SATELITE_EXP_HW\01_DESIGN\Project Outputs for SLT\Pick Place for SLT.csv

========================================================================================================================
File Design Information:

Date:       18/09/25
Time:       14:24
Revision:   7239bfd11ae7b853a9419a6130542c20d88b06dd
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U46","PCA9540BDP,118","BottomLayer","SOP65P510X110X300W-8","136.4000","52.3000","270","IC INTERFACE SPECIALIZED"
"R360","4.7k","BottomLayer","RES_C_1005X40","138.4000","56.6000","270","RES"
"R359","4.7k","BottomLayer","RES_C_1005X40","137.4000","48.2000","90","RES"
"R358","4.7k","BottomLayer","RES_C_1005X40","138.5000","47.5000","270","RES"
"R357","4.7k","BottomLayer","RES_C_1005X40","138.5000","43.8000","90","RES"
"C200","0.1uF/10V","BottomLayer","CAP_C_1005X60","136.9000","56.6000","270","CAP CHIP"
"R356","1k","TopLayer","RES_C_1005X40","12.1000","58.8000","180","RES"
"D36","LED_SMD","TopLayer","LED_0603","9.5000","58.8000","180",""
"D35","1N4007FL","BottomLayer","SOD3717X145N","107.8016","12.3995","270","Default Diode"
"D34","1N4007FL","BottomLayer","SOD3717X145N","97.6016","10.5995","270","Default Diode"
"D33","1N4007FL","BottomLayer","SOD3717X145N","118.4995","4.3984","180","Default Diode"
"D32","1N4007FL","BottomLayer","SOD3717X145N","118.4995","6.7984","180","Default Diode"
"JP10","DNP/0R","TopLayer","RES_C_1608X60","32.4000","7.8000","180",""
"TP9","","TopLayer","Testpoint_TH_D130H80","83.6000","21.9000","90","Test Point"
"TP8","","TopLayer","Testpoint_TH_D130H80","82.3000","20.0000","90","Test Point"
"TP7","","TopLayer","Testpoint_TH_D130H80","90.2000","22.3000","90","Test Point"
"TP6","","TopLayer","Testpoint_TH_D130H80","61.6000","18.1000","90","Test Point"
"R355","10k","BottomLayer","RES_C_1005X40","44.4000","37.3000","270","RES"
"R354","10k","BottomLayer","RES_C_1005X40","45.9000","39.7000","180","RES"
"R353","10k","TopLayer","RES_C_1005X40","101.5000","39.7000","180","RES"
"R352","10k","TopLayer","RES_C_1005X40","104.5000","41.4000","90","RES"
"R351","10k","TopLayer","RES_C_1005X40","29.9750","8.0000","180","RES"
"R350","10k","TopLayer","RES_C_1005X40","29.9750","7.1000","180","RES"
"R349","10k","TopLayer","RES_C_1005X40","45.2000","8.1000","90","RES"
"R348","10k","TopLayer","RES_C_1005X40","41.6000","8.1000","90","RES"
"R347","10k","BottomLayer","RES_C_1005X40","78.8000","41.6000","270","RES"
"R346","10k","BottomLayer","RES_C_1005X40","78.8000","43.6000","90","RES"
"R345","10k","BottomLayer","RES_C_1005X40","78.8000","39.6000","270","RES"
"R344","10k","BottomLayer","RES_C_1005X40","68.7000","43.1000","90","RES"
"R343","10k","BottomLayer","RES_C_1005X40","58.7000","42.9000","180","RES"
"R342","10k","BottomLayer","RES_C_1005X40","58.7000","41.5000","180","RES"
"R341","10k","BottomLayer","RES_C_1005X40","86.1000","37.5000","180","RES"
"R340","10k","BottomLayer","RES_C_1005X40","89.0000","44.2000","90","RES"
"R285","10k","BottomLayer","RES_C_1005X40","104.2000","58.7000","180","RES"
"R284","10k","BottomLayer","RES_C_1005X40","104.2000","52.8000","180","RES"
"R283","10k","BottomLayer","RES_C_1005X40","114.2000","49.9000","270","RES"
"R275","10k","TopLayer","RES_C_1005X40","119.0000","13.0000","0","RES"
"C198","0.1uF/10V","BottomLayer","CAP_C_1005X60","78.8000","37.6000","270","CAP CHIP"
"C186","0.1uF/10V","BottomLayer","CAP_C_1005X60","78.8000","45.7000","90","CAP CHIP"
"U45","PCA9508DP,118","TopLayer","TSOP8","45.5000","4.9000","0",""
"R257","DNP/22R","BottomLayer","RES_C_1005X40","18.9000","3.1000","270","RES"
"R255","10k","TopLayer","RES_C_1005X40","124.6000","14.8000","0","RES"
"J24","0533980471","BottomLayer","MOLEX_0533980471","26.7000","23.5750","0",""
"U50","TPS259470ARPWR","TopLayer","VQFN-HR-10","119.0011","34.7491","90",""
"U48","TPS259470ARPWR","TopLayer","VQFN-HR-10","119.0000","44.2491","90",""
"R339","1.6k","TopLayer","RES_C_1005X40","118.5862","37.7305","270","RES"
"R338","10k","TopLayer","RES_C_1005X40","118.6931","30.9653","270","RES"
"R337","47k","TopLayer","RES_C_1005X40","115.5931","30.9653","270","RES"
"R336","DNP/10k","TopLayer","RES_C_1005X40","116.8931","30.9653","270","RES"
"R335","22R","TopLayer","RES_C_1005X40","117.7931","30.9653","270","RES"
"R334","47k","TopLayer","RES_C_1005X40","120.9931","30.9653","270","RES"
"R333","47k","TopLayer","RES_C_1005X40","120.0931","30.9653","270","RES"
"R332","470k","TopLayer","RES_C_1005X40","116.4931","33.1653","90","RES"
"R331","1.6k","TopLayer","RES_C_1005X40","118.5851","47.2306","270","RES"
"R330","10k","TopLayer","RES_C_1005X40","118.6920","40.4653","270","RES"
"R329","47k","TopLayer","RES_C_1005X40","115.5920","40.4653","270","RES"
"R328","DNP/10k","TopLayer","RES_C_1005X40","116.8920","40.4653","270","RES"
"R327","22R","TopLayer","RES_C_1005X40","117.7920","40.4653","270","RES"
"R326","47k","TopLayer","RES_C_1005X40","120.9920","40.4653","270","RES"
"R325","47k","TopLayer","RES_C_1005X40","120.0920","40.4653","270","RES"
"R324","470k","TopLayer","RES_C_1005X40","116.4920","42.6653","90","RES"
"JP9","DNP/0R","TopLayer","RES_C_1608X60","115.8862","36.6305","90",""
"JP8","DNP/0R","TopLayer","RES_C_1608X60","115.8851","46.1306","90",""
"DZ8","KDZLVTFTR51","BottomLayer","SOD3717X145N","55.1016","5.2995","270","Zenner"
"DZ7","KDZLVTFTR51","BottomLayer","SOD3717X145N","66.7995","14.1984","180","Zenner"
"DZ6","KDZLVTFTR51","BottomLayer","SOD3717X145N","71.6995","14.1984","180","Zenner"
"DZ5","KDZLVTFTR51","TopLayer","SOD3717X145N","80.7005","14.1984","0","Zenner"
"DZ4","KDZLVTFTR51","TopLayer","SOD3717X145N","75.7005","14.1984","0","Zenner"
"DZ3","KDZLVTFTR51","TopLayer","SOD3717X145N","70.7005","14.1984","0","Zenner"
"DZ2","KDZLVTFTR51","TopLayer","SOD3717X145N","65.7005","14.1984","0","Zenner"
"DZ1","KDZLVTFTR51","TopLayer","SOD3717X145N","72.9005","18.8984","0","Zenner"
"D31","SS54","TopLayer","DO-214AC_SMA","122.6931","35.0653","90","DIODE SCHOTTKY 60V 3A DO214AA"
"D30","SS54","TopLayer","DO-214AC_SMA","122.6920","44.5653","90","DIODE SCHOTTKY 60V 3A DO214AA"
"C293","2.2nF/10V","TopLayer","CAP_C_1005X60","120.1862","37.7305","270","CAP CHIP"
"C292","2.2nF/10V","TopLayer","CAP_C_1005X60","117.6862","37.7305","270","CAP CHIP"
"C291","1uF/20V","TopLayer","CAP_C_1005X60","115.6000","42.7000","90","CAP CHIP"
"C290","100uF/20V","BottomLayer","CAP_C_3225X80","122.2931","34.0653","270","CAP CHIP High Value"
"C289","100uF/20V","BottomLayer","CAP_C_3225X80","119.0931","34.0653","270","CAP CHIP High Value"
"C288","2.2nF/10V","TopLayer","CAP_C_1005X60","120.1851","47.2306","270","CAP CHIP"
"C287","2.2nF/10V","TopLayer","CAP_C_1005X60","117.6851","47.2306","270","CAP CHIP"
"C286","1uF/20V","TopLayer","CAP_C_1005X60","115.5931","33.1653","90","CAP CHIP"
"C285","100uF/20V","BottomLayer","CAP_C_3225X80","122.2920","43.5653","270","CAP CHIP High Value"
"C284","100uF/20V","BottomLayer","CAP_C_3225X80","119.0920","43.5653","270","CAP CHIP High Value"
"C278","0.1uF/10V","BottomLayer","CAP_C_1005X60","45.8000","22.6000","270","CAP CHIP"
"J15","HEADER","BottomLayer","MOLEX_0533981571","99.6250","41.0000","90",""
"R323","22R","TopLayer","RES_C_1005X40","55.7000","14.1000","180","RES"
"R322","22R","TopLayer","RES_C_1005X40","55.8000","19.5000","0","RES"
"R321","10k","BottomLayer","RES_C_1005X40","86.1000","36.6000","180","RES"
"R320","10k","BottomLayer","RES_C_1005X40","69.6000","41.1000","270","RES"
"R319","22R","TopLayer","RES_C_1005X40","77.6000","20.6000","180","RES"
"R318","22R","TopLayer","RES_C_1005X40","77.6000","21.5000","180","RES"
"R317","10k","BottomLayer","RES_C_1005X40","69.6000","43.1000","90","RES"
"R316","4.7k","BottomLayer","RES_C_1005X40","58.7000","39.6000","0","RES"
"R315","4.7k","BottomLayer","RES_C_1005X40","47.3000","36.0000","0","RES"
"R314","10k","BottomLayer","RES_C_1005X40","68.7000","39.1000","90","RES"
"R313","4.7k","BottomLayer","RES_C_1005X40","47.3000","33.8000","0","RES"
"R312","22R","BottomLayer","RES_C_1005X40","58.7000","37.8000","180","RES"
"R311","22R","BottomLayer","RES_C_1005X40","53.0000","32.9000","90","RES"
"R310","4.7k","BottomLayer","RES_C_1005X40","52.1000","32.9000","90","RES"
"R309","4.7k","BottomLayer","RES_C_1005X40","58.7000","38.7000","180","RES"
"R308","1.6k","TopLayer","RES_C_1005X40","118.7101","56.7064","270","RES"
"R307","10k","TopLayer","RES_C_1005X40","118.8170","49.9412","270","RES"
"R306","133k","TopLayer","RES_C_1005X40","115.7170","49.9412","270","RES"
"R305","DNP/10k","TopLayer","RES_C_1005X40","117.0170","49.9412","270","RES"
"R304","22R","TopLayer","RES_C_1005X40","117.9170","49.9412","270","RES"
"R303","47k","TopLayer","RES_C_1005X40","121.1170","49.9412","270","RES"
"R302","47k","TopLayer","RES_C_1005X40","120.2170","49.9412","270","RES"
"R301","470k","TopLayer","RES_C_1005X40","116.6170","52.1412","90","RES"
